task_id,task_name,company,order_name,campaas,campaas_1,bu,bu_1,currency,amount_untaxed,fecha_pub,fecha_estimada,importe_linea
29939,Mateo Guasconi (Historia 3),NEXT STEP ADVERTISING S.R.L.,AR03879,False,Campañas,False,ZAS ARGENTINA,ARS,25500000.0,False,2026-06-08 15:00:00,1400000.0
29935,Mateo Guasconi (3 Derecho de imagen por 30 dias),NEXT STEP ADVERTISING S.R.L.,AR03879,False,Campañas,False,ZAS ARGENTINA,ARS,25500000.0,False,2026-07-06 15:00:00,800000.0
29546,Juli Bianco (Historia Instagram),NEXT STEP ADVERTISING S.R.L.,AR03724,False,Campañas,False,ZAS ARGENTINA,ARS,10000000.0,False,2026-07-06 16:00:00,450000.0
29542,Juli Bianco (Derecho de imagen por 30 dias),NEXT STEP ADVERTISING S.R.L.,AR03724,False,Campañas,False,ZAS ARGENTINA,ARS,10000000.0,False,2026-07-06 16:00:00,500000.0
29538,Juli Bianco (Post Instagram),NEXT STEP ADVERTISING S.R.L.,AR03724,False,Campañas,False,ZAS ARGENTINA,ARS,10000000.0,False,2026-07-06 16:00:00,700000.0
29400,Marian Soler (Reel 3),NEXT STEP ADVERTISING S.R.L.,AR01968,False,Campañas,False,ZAS ARGENTINA,ARS,25000000.0,False,False,800000.0
29356,Marian Soler (Historia 3),NEXT STEP ADVERTISING S.R.L.,AR01968,False,Campañas,False,ZAS ARGENTINA,ARS,25000000.0,2026-04-08 14:00:00,False,350000.0
29251,Maxi Sieghart (Conducción) 5,NEXT STEP ADVERTISING S.R.L.,AR03583,False,Campañas,False,ZAS ARGENTINA,ARS,10800000.0,False,2026-07-28 19:00:00,1200000.0
28602,Juli Bianco (Post Instagram),NEXT STEP ADVERTISING S.R.L.,AR03349,False,Campañas,False,ZAS ARGENTINA,ARS,2000000.0,False,False,0.0
28403,Jacinta de Oromi (Pauta por 30 días),NEXT STEP ADVERTISING S.R.L.,AR03694,False,Campañas,False,ZAS ARGENTINA,ARS,8450000.0,2026-05-05 14:00:00,False,600000.0
27906,Gali Andrade  (Pauta por 30 días),NEXT STEP ADVERTISING S.R.L.,AR03199,False,Campañas,False,ZAS ARGENTINA,ARS,6100000.0,False,2026-07-06 14:00:00,250000.0
27901,Gali Andrade  (Historia Instagram),NEXT STEP ADVERTISING S.R.L.,AR03199,False,Campañas,False,ZAS ARGENTINA,ARS,6100000.0,False,2026-07-06 14:00:00,500000.0
27898,Gali Andrade  (Tiktok),NEXT STEP ADVERTISING S.R.L.,AR03199,False,Campañas,False,ZAS ARGENTINA,ARS,6100000.0,False,2026-07-13 14:00:00,900000.0
27855,Juli Bianco (Pauta por 30 días),NEXT STEP ADVERTISING S.R.L.,AR03774,False,Campañas,False,ZAS ARGENTINA,ARS,3000000.0,False,2026-08-03 14:00:00,50000.0
27847,Juli Bianco (Historia Instagram),NEXT STEP ADVERTISING S.R.L.,AR03774,False,Campañas,False,ZAS ARGENTINA,ARS,3000000.0,False,2026-06-08 14:00:00,200000.0
27834,Juli Bianco (Pauta por 30 días),NEXT STEP ADVERTISING S.R.L.,AR03773,False,Campañas,False,ZAS ARGENTINA,ARS,3000000.0,False,2026-06-08 14:00:00,50000.0
27829,Juli Bianco (Historia Instagram),NEXT STEP ADVERTISING S.R.L.,AR03773,False,Campañas,False,ZAS ARGENTINA,ARS,3000000.0,False,2026-06-08 14:00:00,150000.0
27817,Juli Bianco (Pauta por 30 días),NEXT STEP ADVERTISING S.R.L.,AR03124,False,Campañas,False,ZAS ARGENTINA,ARS,2000000.0,False,2026-06-08 14:00:00,50000.0
27812,Juli Bianco (Historia Instagram),NEXT STEP ADVERTISING S.R.L.,AR03124,False,Campañas,False,ZAS ARGENTINA,ARS,2000000.0,False,2026-07-06 14:00:00,100000.0
27699,Martu Ortiz (Historia Instagram),NEXT STEP ADVERTISING S.R.L.,AR03762,False,Campañas,False,ZAS ARGENTINA,ARS,0.0,2026-05-15 12:00:00,False,0.0
27163,Milo Gonzalez (Historia Instagram) 3,NEXT STEP ADVERTISING S.R.L.,AR03182,False,Campañas,False,ZAS ARGENTINA,USD,0.0,2026-03-21 00:00:00,False,0.0
27161,Marian Soler (Historia Instagram) 3,NEXT STEP ADVERTISING S.R.L.,AR03181,False,Campañas,False,ZAS ARGENTINA,USD,0.0,2026-03-21 00:00:00,False,0.0
26838,Marian Soler (Historia Instagram),NEXT STEP ADVERTISING S.R.L.,AR03209,False,Campañas,False,ZAS ARGENTINA,ARS,3000000.0,False,2026-07-06 17:00:00,200000.0
26576,More Andrade (Pauta por 30 días),NEXT STEP ADVERTISING S.R.L.,AR03628,False,Campañas,False,ZAS ARGENTINA,ARS,6000000.0,False,2026-07-06 17:00:00,300000.0
26573,More Andrade (Historia Instagram),NEXT STEP ADVERTISING S.R.L.,AR03628,False,Campañas,False,ZAS ARGENTINA,ARS,6000000.0,False,2026-08-03 17:00:00,400000.0
26564,More Andrade (Historia Instagram),NEXT STEP ADVERTISING S.R.L.,AR03627,False,Campañas,False,ZAS ARGENTINA,ARS,6000000.0,False,2026-07-06 17:00:00,600000.0
26559,More Andrade (Pauta por 30 días),NEXT STEP ADVERTISING S.R.L.,AR03144,False,Campañas,False,ZAS ARGENTINA,ARS,6000000.0,False,2026-07-06 17:00:00,300000.0
26553,More Andrade (Historia Instagram),NEXT STEP ADVERTISING S.R.L.,AR03144,False,Campañas,False,ZAS ARGENTINA,ARS,6000000.0,False,2026-07-06 17:00:00,400000.0
26527,Milo Gonzalez (Pauta por 30 días),NEXT STEP ADVERTISING S.R.L.,AR03624,False,Campañas,False,ZAS ARGENTINA,ARS,5000000.0,False,2026-06-08 15:00:00,100000.0
26519,Milo Gonzalez (Tiktok),NEXT STEP ADVERTISING S.R.L.,AR03624,False,Campañas,False,ZAS ARGENTINA,ARS,5000000.0,False,2026-07-06 15:00:00,450000.0
26510,Milo Gonzalez (Tiktok),NEXT STEP ADVERTISING S.R.L.,AR03623,False,Campañas,False,ZAS ARGENTINA,ARS,5000000.0,False,2026-06-15 15:00:00,450000.0
26502,Milo Gonzalez (Pauta por 30 días),NEXT STEP ADVERTISING S.R.L.,AR03623,False,Campañas,False,ZAS ARGENTINA,ARS,5000000.0,False,2026-07-06 15:00:00,100000.0
26493,Milo Gonzalez (Pauta por 30 días),NEXT STEP ADVERTISING S.R.L.,AR03126,False,Campañas,False,ZAS ARGENTINA,ARS,4000000.0,2026-06-19 16:00:00,False,100000.0
26485,Milo Gonzalez (Tiktok),NEXT STEP ADVERTISING S.R.L.,AR03126,False,Campañas,False,ZAS ARGENTINA,ARS,4000000.0,2026-06-19 16:00:00,False,350000.0
26075,Arin Kim (Pauta por 30 días 3),NEXT STEP ADVERTISING S.R.L.,AR03580,False,Campañas,False,ZAS ARGENTINA,ARS,8000000.0,False,2026-07-06 15:00:00,300000.0
26072,Arin Kim (Tiktok 3),NEXT STEP ADVERTISING S.R.L.,AR03580,False,Campañas,False,ZAS ARGENTINA,ARS,8000000.0,False,2026-06-08 15:00:00,900000.0
26065,Arin Kim (Historia Instagram 3),NEXT STEP ADVERTISING S.R.L.,AR03580,False,Campañas,False,ZAS ARGENTINA,ARS,8000000.0,False,2026-06-08 15:00:00,400000.0
25877,Recontra Luchita (Historia Instagram),NEXT STEP ADVERTISING S.R.L.,AR03491,False,Campañas,False,ZAS ARGENTINA,ARS,8000000.0,2026-06-24 15:00:00,False,400000.0
